Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Valor:Tasa:Moneda,Entrega compilada:Adjudicaciones:Valor:Tasa:Valor
ocds-dgv273-seacev3-1185582,ocds-dgv273-seacev3-1185582-2026-04-17T10:28:35.991012-05:00,1185582-20100713480,PEN,3.35675
ocds-dgv273-seacev3-2026-1926-19,ocds-dgv273-seacev3-2026-1926-19-2026-04-08T10:12:22.679406-05:00,1185929-20515241877,PEN,3.35675
ocds-dgv273-seacev3-1201816,ocds-dgv273-seacev3-1201816-2026-04-03T10:06:58.030525-05:00,1201816-L5552918172,PEN,3.35675
ocds-dgv273-seacev3-2026-1926-16,ocds-dgv273-seacev3-2026-1926-16-2026-03-18T10:11:37.233937-05:00,1184445-20553061921,PEN,3.35675
ocds-dgv273-seacev3-1185166,ocds-dgv273-seacev3-1185166-2026-03-15T10:14:25.235157-05:00,1185166-L5552918062,PEN,3.35675
ocds-dgv273-seacev3-1185648,ocds-dgv273-seacev3-1185648-2026-03-11T10:12:43.181814-05:00,1185648-20556875287,PEN,3.35675
ocds-dgv273-seacev3-1191393,ocds-dgv273-seacev3-1191393-2026-03-07T10:04:35.985142-05:00,1191393-L5552918098,PEN,3.35675
ocds-dgv273-seacev3-1188856,ocds-dgv273-seacev3-1188856-2026-02-28T10:10:12.893015-05:00,1188856-L5552918087,PEN,3.35675
ocds-dgv273-seacev3-1185678,ocds-dgv273-seacev3-1185678-2026-02-15T09:57:10.630248-05:00,1185678-10063037945,PEN,3.35675
ocds-dgv273-seacev3-2026-1926-11,ocds-dgv273-seacev3-2026-1926-11-2026-02-12T10:06:41.599482-05:00,1184783-L5552918060,PEN,3.35675
ocds-dgv273-seacev3-1185887,ocds-dgv273-seacev3-1185887-2026-02-06T10:03:25.738456-05:00,1185887-L0603769128,PEN,3.35675
ocds-dgv273-seacev3-1185555,ocds-dgv273-seacev3-1185555-2026-02-06T10:03:25.154721-05:00,1185555-L5552918067,PEN,3.35675
ocds-dgv273-seacev3-1185861,ocds-dgv273-seacev3-1185861-2026-02-05T10:04:03.626947-05:00,1185861-L5552918069,PEN,3.35675
ocds-dgv273-seacev3-1185451,ocds-dgv273-seacev3-1185451-2026-02-04T10:04:05.408642-05:00,1185451-20303180720,PEN,3.35675
ocds-dgv273-seacev3-2026-20006-1,ocds-dgv273-seacev3-2026-20006-1-2026-02-04T10:04:00.921292-05:00,1184776-99000004533,PEN,3.35675
ocds-dgv273-seacev3-1185408,ocds-dgv273-seacev3-1185408-2026-01-30T10:02:49.984101-05:00,1185408-L5552918065,PEN,3.942131935
ocds-dgv273-seacev3-2026-1947-129,ocds-dgv273-seacev3-2026-1947-129-2026-01-30T10:02:49.854610-05:00,1185247-L0606465534,PEN,3.35675
ocds-dgv273-seacev3-2026-1947-130,ocds-dgv273-seacev3-2026-1947-130-2026-01-30T10:02:36.968753-05:00,1185102-L0609014395,PEN,3.35675
ocds-dgv273-seacev3-2026-1947-131,ocds-dgv273-seacev3-2026-1947-131-2026-01-30T10:02:29.466402-05:00,1185109-L0603769486,PEN,3.35675
ocds-dgv273-seacev3-1184382,ocds-dgv273-seacev3-1184382-2026-01-29T10:02:23.226606-05:00,1184382-L5552918046,PEN,3.35675
ocds-dgv273-seacev3-1184748,ocds-dgv273-seacev3-1184748-2026-01-29T10:01:50.509616-05:00,1184748-20530217788,PEN,3.35675
ocds-dgv273-seacev3-1185173,ocds-dgv273-seacev3-1185173-2026-01-28T10:02:17.323521-05:00,1185173-20110200201,PEN,3.35675
ocds-dgv273-seacev3-1185002,ocds-dgv273-seacev3-1185002-2026-01-23T10:02:37.081499-05:00,1185002-20441766883,PEN,3.35675
ocds-dgv273-seacev3-1184494,ocds-dgv273-seacev3-1184494-2026-01-22T10:01:34.430330-05:00,1184494-20378721998,PEN,3.35675
ocds-dgv273-seacev3-1184730,ocds-dgv273-seacev3-1184730-2026-01-18T09:55:14.465697-05:00,1184730-20522070611,PEN,3.35675
ocds-dgv273-seacev3-1184357,ocds-dgv273-seacev3-1184357-2026-01-09T10:03:40.284452-05:00,1184357-20537243709,PEN,3.35675
